# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
5b8f74d5e1cde0df67ea1c370ce94023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
692121aa355c25aceabc819780b6018d	104.0	87.0	114.0	113.0	75.0	71.0	96.0	100.0	95.0	65.0	102.0	86.0	74.0	107.0	79.0	0.0	44.0
2d02f1d836c09b1ae0ea0fe896e78e89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	138.0	521.0
0951d806460797edc8a3a9d5a56faaac	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e62fb392c67c869aafacdd2894ca2280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
13e4fda6914fc7c1e6bc4a47724cfe65	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d7cedb9ef6f36b3b12fcf474121daff9	131.0	179.0	202.0	201.0	161.0	150.0	121.0	205.0	235.0	61.0	97.0	69.0	54.0	74.0	74.0	54.0	33.0
f8cb616ba0a12e7657b5d61c8b4a2d7a	0.0	0.0	11.0	0.0	0.0	7.0	0.0	0.0	8.0	0.0	11.0	0.0	19.0	30.0	0.0	0.0	0.0
3c71d1efbfeda560fadf8cf5b93d6718	0.0	17.0	0.0	11.0	0.0	11.0	0.0	21.0	0.0	0.0	13.0	16.0	0.0	0.0	0.0	0.0	0.0
662d8f74df341ed5605fb6b788eefd0e	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
8f87c151da3792b498ef367457f3282e	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
376f71002740ae35c0e59fa19884871d	14.0	0.0	0.0	26.0	0.0	38.0	0.0	87.0	29.0	66.0	57.0	18.0	279.0	154.0	143.0	32.0	43.0
f1bb15493a9fd76d8fefffcfdddbb8bd	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5cb0fbbabce176fe16ffe4dd7c5d484f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
a0da51e9de78ef1fb01f8e2b4528270f	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
492b5e9c50d19a4b508a04e586efbc4c	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f155e4ff4a4b6ef76077ef0a304b6d2b	0.0	17.0	0.0	10.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
320374962c6ea04d27473450c3f1a487	0.0	37.0	17.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ed9d89cdda2f816de91f99cbc8acd2f3	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d82709da0d4c29d36cb7ae738673eb3c	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a0d817cc9b56bbdcee23b6f973534873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	46.0	28.0	0.0	27.0	0.0	0.0	0.0
b248d966a67640f907e516a6e1b82c96	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3443b545b2e6a749a0eb77c21f91225	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a477e3c02876fca31fdacac8eedb6f0b	11.0	11.0	0.0	9.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
01c77deb924191afe2023d119169948c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
48181704ff7638f424ebf9064bb38dd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	113.0	36.0	153.0	87.0	79.0	39.0	19.0
a78518cfd801b0e94dd3d6483258757b	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dd0e3394e3ba05b4ad200a1a5d74bf7d	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0734d6b61cf6c4a9e81aa6a7dde0d84e	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
